OBJECTID,Street1,Street2,Intersect,Long,Lat
936,FORT ST,HARRISON ST,HARRISON ST & FORT ST,-123.343823451372,48.4242069511304
937,BLACKWOOD ST,HAULTAIN ST,HAULTAIN ST & BLACKWOOD ST,-123.352613831732,48.4365256481926
938,COOK ST,HAULTAIN ST,HAULTAIN ST & COOK ST,-123.352118607702,48.4364238384206
939,EMPIRE ST,HAULTAIN ST,HAULTAIN ST & EMPIRE ST,-123.350829770515,48.4363447755345
940,CAPITAL HTS,HAULTAIN ST,HAULTAIN ST & CAPITAL HTS,-123.349541565039,48.4362766689633
941,CEDAR HILL RD,HAULTAIN ST,HAULTAIN ST & CEDAR HILL RD,-123.346888878692,48.436240308862
942,GARDEN ST,HAULTAIN ST,HAULTAIN ST & GARDEN ST,-123.346267905612,48.436233261513
943,FERNWOOD RD,HAULTAIN ST,HAULTAIN ST & FERNWOOD RD,-123.344933471559,48.4362181110421
944,AVEBURY AVE,HAULTAIN ST,HAULTAIN ST & AVEBURY AVE,-123.342267379437,48.4361854501124
945,ASQUITH ST,HAULTAIN ST,HAULTAIN ST & ASQUITH ST,-123.34093372281,48.4361690239299
946,BELMONT AVE,HAULTAIN ST,HAULTAIN ST & BELMONT AVE,-123.339758078442,48.4361545304728
947,FORBES ST,HAULTAIN ST,HAULTAIN ST & FORBES ST,-123.338525682243,48.4361393229391
948,EMPIRE ST,HAYWARD HTS,HAYWARD HTS & EMPIRE ST,-123.350598387996,48.4385211017947
949,BASTION SQ,HELMCKEN ALLEY,HELMCKEN ALLEY & BASTION SQ,-123.369252071065,48.4258443027966
950,CATHERINE ST,HENRY ST,HENRY ST & CATHERINE ST,-123.384743841009,48.4321450470142
951,BAY ST,HENRY ST,HENRY ST & BAY ST,-123.383244635303,48.4321313126593
952,GOVERNMENT ST,HERALD ST,HERALD ST & GOVERNMENT ST,-123.367105516376,48.4302118280221
953,DOUGLAS ST,HERALD ST,HERALD ST & DOUGLAS ST,-123.36449064172,48.4302503499254
954,BLANSHARD ST,HERALD ST,HERALD ST & BLANSHARD ST,-123.361868092572,48.4301340229741
955,DOMINION RD,HEREWARD RD,HEREWARD RD & DOMINION RD,-123.393871943133,48.4360057299408
956,CEDAR HILL RD,HESPLER PL,HESPLER PL & CEDAR HILL RD,-123.344391002485,48.4406475829065
957,CAMAS CIR,HEYWOOD WAY,HEYWOOD WAY & CAMAS CIR,-123.362070271374,48.4112315158955
958,BRIDGE WAY,HEYWOOD WAY,HEYWOOD WAY & BRIDGE WAY,-123.361056448369,48.4119822661713
959,HEYWOOD AVE,HEYWOOD WAY,HEYWOOD WAY & HEYWOOD AVE,-123.360586138449,48.4128516001151
960,CEDAR HILL RD,HIBBERSON CRES,HIBBERSON CRES & CEDAR HILL RD,-123.347139273959,48.4444048616079
961,COOK ST,HIGGINS ST,HIGGINS ST & COOK ST,-123.34967926916,48.4422200021455
962,BASIL AVE,HIGGINS ST,HIGGINS ST & BASIL AVE,-123.349458464503,48.4414518897836
963,FINLAYSON ST,HIGHVIEW ST,HIGHVIEW ST & FINLAYSON ST,-123.352959545327,48.4473076875518
964,COOK ST,HILDA ST,HILDA ST & COOK ST,-123.355684592595,48.4167127411858
965,CHESTER AVE,HILDA ST,HILDA ST & CHESTER AVE,-123.35436690868,48.4165789570135
966,BLANSHARD ST,HILL ST,HILL ST & BLANSHARD ST,-123.363097617141,48.4378493198778
967,BRIDGE ST,HILLSIDE AVE,HILLSIDE AVE & BRIDGE ST,-123.373295718505,48.4370026376011
968,GOVERNMENT ST,HILLSIDE AVE,HILLSIDE AVE & GOVERNMENT ST,-123.367399430785,48.438128900036
969,DOUGLAS ST,HILLSIDE AVE,HILLSIDE AVE & DOUGLAS ST,-123.366896347675,48.4382934183872
970,BLANSHARD ST,HILLSIDE AVE,HILLSIDE AVE & BLANSHARD ST,-123.363388858969,48.4388678557622
971,FIFTH ST,HILLSIDE AVE,HILLSIDE AVE & FIFTH ST,-123.357825305722,48.4395948600328
972,GRAHAM ST,HILLSIDE AVE,HILLSIDE AVE & GRAHAM ST,-123.356487509574,48.4397657354758
973,BAKERY MEWS,HILLSIDE AVE,HILLSIDE AVE & BAKERY MEWS,-123.354490087235,48.4400208347248
974,BLACKWOOD ST,HILLSIDE AVE,HILLSIDE AVE & BLACKWOOD ST,-123.353817934519,48.440106670631
975,COOK ST,HILLSIDE AVE,HILLSIDE AVE & COOK ST,-123.35173133976,48.4403674660559
976,HIGGINS ST,HILLSIDE AVE,HILLSIDE AVE & HIGGINS ST,-123.349263546198,48.4408255090013
977,GROSVENOR RD,HILLSIDE AVE,HILLSIDE AVE & GROSVENOR RD,-123.347193848811,48.4410946959521
978,CEDAR HILL RD,HILLSIDE AVE,HILLSIDE AVE & CEDAR HILL RD,-123.344261770229,48.441303948016
979,HAMILTON RD,HILLSIDE AVE,HILLSIDE AVE & HAMILTON RD,-123.342765002979,48.4418879519222
980,GOSWORTH RD,HILLSIDE AVE,HILLSIDE AVE & GOSWORTH RD,-123.341235716266,48.4424973658863
981,BELMONT AVE,HILLSIDE AVE,HILLSIDE AVE & BELMONT AVE,-123.339849455473,48.4430488155527
982,DONCASTER DR,HILLSIDE AVE,HILLSIDE AVE & DONCASTER DR,-123.338230679134,48.443694785899
983,CEDAR HILL RD,HIPWOOD LANE,HIPWOOD LANE & CEDAR HILL RD,-123.347788888471,48.4437238846928
984,HAMILTON RD,HOLLY ST,HOLLY ST & HAMILTON RD,-123.340240089393,48.441006370811
985,BELMONT AVE,HOLLY ST,HOLLY ST & BELMONT AVE,-123.338959695928,48.4415099222463
986,DALLAS RD,HOLLYWOOD CRES,HOLLYWOOD CRES & DALLAS RD,-123.336272147642,48.4100875137433
987,BEECHWOOD AVE,HOLLYWOOD CRES,HOLLYWOOD CRES & BEECHWOOD AVE,-123.3328658609,48.4087646814116
988,HOLLYWOOD CRES,HOLLYWOOD PL,HOLLYWOOD PL & HOLLYWOOD CRES,-123.335110934746,48.409093244144
989,DENMAN ST,HOWARD ST,HOWARD ST & DENMAN ST,-123.334367250111,48.4325541565228
990,BAY ST,HOWARD ST,HOWARD ST & BAY ST,-123.334363871302,48.4339780537145
991,DALLAS RD,HOWE ST,HOWE ST & DALLAS RD,-123.352164914462,48.4064815126931
992,FAITHFUL ST,HOWE ST,HOWE ST & FAITHFUL ST,-123.351392090565,48.409657142805
993,CHAPMAN ST,HOWE ST,HOWE ST & CHAPMAN ST,-123.350669582731,48.4124634351496
994,GOVERNMENT ST,HUMBOLDT ST,HUMBOLDT ST & GOVERNMENT ST,-123.368326990061,48.4229439949416
995,GORDON ST,HUMBOLDT ST,HUMBOLDT ST & GORDON ST,-123.367550094053,48.4226994896556
996,BURDETT AVE,HUMBOLDT ST,HUMBOLDT ST & BURDETT AVE,-123.36602168982,48.4222129914226
997,BLANSHARD ST,HUMBOLDT ST,HUMBOLDT ST & BLANSHARD ST,-123.363855956152,48.4205319399583
998,AVALON RD,HUNTINGTON PL,HUNTINGTON PL & AVALON RD,-123.367663171526,48.4149112047758
999,DALLAS RD,HURON ST,HURON ST & DALLAS RD,-123.384564701693,48.4218633584133
1000,GORGE RD E,IRMA ST,IRMA ST & GORGE RD E,-123.387989140913,48.4436581979588
1001,BURNSIDE RD E,IRMA ST,IRMA ST & BURNSIDE RD E,-123.383386265355,48.4488518733668
1002,CRESCENT RD,IRVING RD,IRVING RD & CRESCENT RD,-123.328758312753,48.4122241296112
1003,BEAVEN ST,IRVING RD,IRVING RD & BEAVEN ST,-123.328750656153,48.4140561926794
1004,FAIRFIELD RD,IRVING RD,IRVING RD & FAIRFIELD RD,-123.328727775414,48.4155292109339
1005,FINLAYSON ST,JACKSON ST,JACKSON ST & FINLAYSON ST,-123.358122692034,48.4466532726546
1006,GRAHAM ST,JACKSON ST,JACKSON ST & GRAHAM ST,-123.357626336669,48.4442531614632
1007,CRAIGDARROCH RD,JOAN CRES,JOAN CRES & CRAIGDARROCH RD,-123.344749795814,48.4236209854912
1008,BRIDGE ST,JOHN ST,JOHN ST & BRIDGE ST,-123.372962903173,48.4362109109899
1009,GOVERNMENT ST,JOHN ST,JOHN ST & GOVERNMENT ST,-123.367364685083,48.4372590783177
1010,ESQUIMALT RD,JOHNSON ST,JOHNSON ST & ESQUIMALT RD,-123.372540403357,48.4279573841527
1011,GOVERNMENT ST,JOHNSON ST,JOHNSON ST & GOVERNMENT ST,-123.367234653793,48.4274772855966
1012,BROAD ST,JOHNSON ST,JOHNSON ST & BROAD ST,-123.365994807513,48.4273398806726
1013,DOUGLAS ST,JOHNSON ST,JOHNSON ST & DOUGLAS ST,-123.364692400692,48.4271955287023
1014,BLANSHARD ST,JOHNSON ST,JOHNSON ST & BLANSHARD ST,-123.361844085324,48.4268832115938
1015,COOK ST,JOHNSON ST,JOHNSON ST & COOK ST,-123.353397343553,48.4259636152724
1016,CHAMBERS ST,JOHNSON ST,JOHNSON ST & CHAMBERS ST,-123.350676269226,48.4256694121613
1017,CAMOSUN ST,JOHNSON ST,JOHNSON ST & CAMOSUN ST,-123.347368457568,48.4254762214692
1018,FERNWOOD RD,JOHNSON ST,JOHNSON ST & FERNWOOD RD,-123.345445396789,48.4254439217126
1019,HARRISON ST,JOHNSON ST,JOHNSON ST & HARRISON ST,-123.343748175614,48.4256061146763
1020,BEGBIE ST,JOHNSON ST,JOHNSON ST & BEGBIE ST,-123.342654976273,48.4267686700994
1021,BUSHBY ST,JOSEPH ST,JOSEPH ST & BUSHBY ST,-123.348020212189,48.4081649573005
1022,FIFTH ST,JOSETTE PL,JOSETTE PL & FIFTH ST,-123.359458690462,48.4452812592997
1023,CALEDONIA AVE,JULIA ST,JULIA ST & CALEDONIA AVE,-123.359274963228,48.4308121801215
1024,GARBALLY RD,JUTLAND RD,JUTLAND RD & GARBALLY RD,-123.377729644015,48.439084367038
1025,DUNEDIN ST,JUTLAND RD,JUTLAND RD & DUNEDIN ST,-123.377058320415,48.4415552198277
1026,GORGE RD E,JUTLAND RD,JUTLAND RD & GORGE RD E,-123.376586225734,48.4418958228365
1027,CECELIA RD,JUTLAND RD,JUTLAND RD & CECELIA RD,-123.375286223313,48.4431181558209
1028,BURNSIDE RD E,JUTLAND RD,JUTLAND RD & BURNSIDE RD E,-123.373933133934,48.4442191764038
1029,CATHERINE ST,KIMTA RD,KIMTA RD & CATHERINE ST,-123.384693580328,48.4295915639224
1030,COOPERAGE PL,KIMTA RD,KIMTA RD & COOPERAGE PL,-123.381812493353,48.4286405565661
1031,DOUGLAS ST,KINGS RD,KINGS RD & DOUGLAS ST,-123.365839873014,48.4363715276351
1032,BLANSHARD ST,KINGS RD,KINGS RD & BLANSHARD ST,-123.362844493694,48.436964063635
1033,DOWLER PL,KINGS RD,KINGS RD & DOWLER PL,-123.361436633995,48.4371413315288
1034,FIFTH ST,KINGS RD,KINGS RD & FIFTH ST,-123.3572690734,48.4376733694788
1035,GRAHAM ST,KINGS RD,KINGS RD & GRAHAM ST,-123.355934491204,48.4378447570954
1036,BAKERY MEWS,KINGS RD,KINGS RD & BAKERY MEWS,-123.353936412499,48.4381013196483
1037,BLACKWOOD ST,KINGS RD,KINGS RD & BLACKWOOD ST,-123.353276638972,48.4381878041985
1038,COOK ST,KINGS RD,KINGS RD & COOK ST,-123.351936585944,48.4383549915489
1039,EMPIRE ST,KINGS RD,KINGS RD & EMPIRE ST,-123.350598387996,48.4385211017947
1040,CAPITAL HTS,KINGS RD,KINGS RD & CAPITAL HTS,-123.34927293278,48.4386875670087
1041,CEDAR HILL RD,KINGS RD,KINGS RD & CEDAR HILL RD,-123.345911682582,48.4382088696001
1042,FERNWOOD RD,KINGS RD,KINGS RD & FERNWOOD RD,-123.34487898264,48.4381753062216
