OBJECTID,Intersection,Signal,LONG,LAT
71,PEMBROKE ST & DOUGLAS ST,Audible and Countdown Signalized Intersection,-123.364588962864,48.4327645269039
72,PINE ST & CRAIGFLOWER RD,Signalized Intersection,-123.388637310465,48.4371294654783
73,QUADRA ST & HUMBOLDT ST,Signalized Intersection,-123.361310494718,48.418910027149
74,QUADRA ST & FINLAYSON ST,Signalized Intersection,-123.361141810081,48.4462792954501
75,QUADRA ST & FAIRFIELD RD,Signalized Intersection,-123.360455322576,48.4197187486731
76,QUADRA ST & FORT ST,Signalized Intersection,-123.359708429719,48.4240134207574
77,QUADRA ST & HILLSIDE AVE,Audible and Countdown Signalized Intersection,-123.3591700694,48.4394230141503
78,QUADRA ST & JOHNSON ST,Signalized Intersection,-123.35906148398,48.4265804620581
79,QUADRA ST & PANDORA AVE,Signalized Intersection,-123.359013528275,48.4274926316494
80,QUADRA ST & CALEDONIA AVE,Signalized Intersection,-123.358613385313,48.430771708944
81,QUADRA ST & KINGS RD,Signalized Intersection,-123.358615620333,48.4375004442657
82,QUADRA ST & PRINCESS AVE,Signalized Intersection,-123.358306395262,48.4330848039388
83,QUADRA ST & BAY ST,Audible and Countdown Signalized Intersection,-123.358008370483,48.4352931180483
84,QUEENS AVE & CHAMBERS ST,Audible Signalized Intersection,-123.349487174632,48.433401281631
85,RICHMOND AVE & OAK BAY AVE,Audible and Countdown Signalized Intersection,-123.330244165778,48.4264562761118
86,RICHMOND RD & BIRCH ST,Audible Signalized Intersection,-123.329978695162,48.429708731918
87,RICHMOND RD & CORONATION AVE,Audible Signalized Intersection,-123.329623664782,48.4315758139727
88,RICHMOND RD & BAY ST,Audible Signalized Intersection,-123.329189939179,48.4336760259179
89,ROCKLAND AVE & COOK ST,Signalized Intersection,-123.354365535797,48.4220753295672
90,ROTHWELL ST & ESQUIMALT RD,Signalized Intersection,-123.393591208593,48.4314972988871
91,SHAKESPEARE ST & HILLSIDE AVE,Audible and Countdown Signalized Intersection,-123.335718422353,48.4447247504618
92,SHELBOURNE ST & BAY ST,Audible and Countdown Signalized Intersection,-123.333665295214,48.4339491416987
93,SHELBOURNE ST & HAULTAIN ST,Audible Signalized Intersection,-123.333595681747,48.4360440717806
94,SHELBOURNE ST & RYAN ST,Audible and Countdown Signalized Intersection,-123.333485310995,48.4399986455013
95,SHELBOURNE ST & HILLSIDE AVE,Audible and Countdown Signalized Intersection,-123.333298366332,48.4456890880726
96,SHELBOURNE ST & NORTH DAIRY RD,Countdown Signalized Intersection,-123.333258468178,48.448155423404
97,SKINNER ST & CATHERINE ST,Audible and Countdown Signalized Intersection,-123.3848062331,48.4355868849492
98,SOUTHGATE ST & DOUGLAS ST,Audible and Countdown Signalized Intersection,-123.365627955284,48.4184876962015
99,STORE ST & PANDORA AVE,Signalized Intersection,-123.369558169675,48.4285046120047
100,SUPERIOR ST & MENZIES ST,Signalized Intersection,-123.372427820702,48.4180566543195
101,SUPERIOR ST & GOVERNMENT ST,Signalized Intersection,-123.368821916837,48.4182667472185
102,TOLMIE AVE & DOUGLAS ST,Audible and Countdown Signalized Intersection,-123.372321024809,48.4477525034422
103,TOLMIE AVE & BLANSHARD ST,Audible and Countdown Signalized Intersection,-123.367989576455,48.448256957525
104,TOLMIE AVE & QUADRA ST,Audible Signalized Intersection,-123.361908817079,48.4489689747352
105,TOLMIE AVE & COOK ST,Signalized Intersection,-123.350516552209,48.4502004137667
106,TYEE RD & BAY ST,Countdown Signalized Intersection,-123.380575115111,48.4337807397099
107,TYEE RD & HARBOUR RD,Audible Signalized Intersection,-123.379457675518,48.4322267437398
108,TYEE RD & ESQUIMALT RD,Signalized Intersection,-123.377402913095,48.4284654840348
109,VANCOUVER ST & FORT ST,Signalized Intersection,-123.356903544693,48.4237071254798
110,VANCOUVER ST & JOHNSON ST,Signalized Intersection,-123.356293255864,48.4262789437551
111,VANCOUVER ST & PANDORA AVE,Signalized Intersection,-123.356151798836,48.4273544006913
112,VIEW ST & DOUGLAS ST,Audible and Countdown Signalized Intersection,-123.365138749607,48.4254229234385
113,VIEW ST & BLANSHARD ST,Audible and Countdown Signalized Intersection,-123.362287868103,48.4251290577775
114,VIEW ST & QUADRA ST,Signalized Intersection,-123.359503519107,48.4248245555532
115,VIEW ST & VANCOUVER ST,Audible and Countdown Signalized Intersection,-123.356703592285,48.4245187094037
116,WASHINGTON AVE & GORGE RD E,Signalized Intersection,-123.381887969505,48.443079826868
117,WILSON ST & BAY ST,Audible Signalized Intersection,-123.382263264421,48.4328651535306
118,YATES ST & GOVERNMENT ST,Audible and Countdown Signalized Intersection,-123.367452899768,48.4265991823164
119,YATES ST & DOUGLAS ST,Audible and Countdown Signalized Intersection,-123.364911593268,48.4263250549788
120,YATES ST & BLANSHARD ST,Audible and Countdown Signalized Intersection,-123.362068603729,48.425995529236
121,YATES ST & QUADRA ST,Signalized Intersection,-123.359286140979,48.4256927940566
122,YATES ST & VANCOUVER ST,Audible Signalized Intersection,-123.356489377536,48.4253880886899
123,YATES ST & COOK ST,Audible Signalized Intersection,-123.3536123251,48.425069504744
124,YATES ST & CAMOSUN ST,Audible and Countdown Signalized Intersection,-123.347458955162,48.4245812293537
125,YATES ST & FERNWOOD RD,Signalized Intersection,-123.345490322286,48.4245195260212
126,JOHNSON ST & WHARF ST,Signalized Intersection,-123.37002794689,48.4278371577691
127,FORT ST & FERN ST,Audible and Countdown Signalized Intersection,-123.333446173759,48.428214365465
128,VERRINDER AVE & FORT ST,Audible and Countdown Signalized Intersection,-123.336864084707,48.4265293809827
129,BLANSHARD ST & BAY ST,Audible Signalized Intersection,-123.362713740708,48.4355495880852
130,NORTH DAIRY RD & WORDSWORTH ST,Audible and Countdown Signalized Intersection,-123.33555760728,48.4482104676039
131,FORT & WHARF,Signalized Intersection,-123.36978219256,48.4250873982912
132,TOLMIE AVE & OAK ST,Signalized Intersection,-123.369737318672,48.448051111488
133,PANDORA AVE & BEGBIE ST,Signalized Intersection,-123.34277038037,48.4269730584628
